ID,FK_ID,ChildNodeID,value
73369,11459,10281,7
73370,11459,10432,3
73371,11459,10292,7
73372,11459,10430,8
73373,11459,10328,1
73374,11459,10431,11
73375,11459,10383,34
73376,11459,10283,27
73377,11460,10430,56
73378,11460,10375,27
73379,11460,10322,17
73380,11461,10383,24
73381,11461,10283,76
73382,11462,10279,100
73383,11463,10281,7
73384,11463,10283,34
73385,11463,10292,5
73386,11463,10383,29
73387,11463,10432,4
73388,11463,10431,13
73389,11463,10430,6
73390,11464,10290,25
73391,11464,10430,14
73392,11464,10279,11
73393,11464,10436,10
73394,11464,10332,4
73395,11464,10429,12
73396,11464,10330,1
73397,11464,10278,23
73398,11465,10375,32
73399,11465,10430,68
73400,11466,10383,24
73401,11466,10283,76
73402,11467,10279,100
73403,11468,10290,15
73404,11468,10430,9
73405,11468,10279,7
73406,11468,10436,6
73407,11468,10332,41
73408,11468,10429,7
73409,11468,10330,1
73410,11468,10278,14
73411,11469,10332,1
73412,11469,10281,7
73413,11469,10432,4
73414,11469,10292,5
73415,11469,10430,7
73416,11469,10431,14
73417,11469,10383,29
73418,11469,10283,31
73419,11470,10430,56
73420,11470,10375,27
73421,11470,10322,17
73422,11471,10323,100
73423,11442,10028,100
73424,11472,10598,1
73425,11472,10017,2
73426,11472,10307,1
73427,11472,10006,2
73428,11472,10456,1
73429,11472,10338,3
73430,11472,10007,5
73431,11472,10019,5
73432,11472,10161,2
73433,11472,10031,1
73434,11472,10392,1
73435,11472,10144,3
73436,11472,10008,3
73437,11472,10162,2
73438,11472,10174,1
73439,11472,10103,5
73440,11472,10032,16
73441,11472,10163,6
73442,11472,10169,4
73443,11472,10057,2
73444,11472,11276,5
73445,11472,10022,19
73446,11472,10028,6
73447,11472,11330,1
73448,11472,10070,2
73449,11473,10264,2
73450,11473,10028,6
73451,11473,10258,3
73452,11473,10070,2
73453,11473,11276,3
73454,11473,10022,6
73455,11473,10032,15
73456,11473,10008,3
73457,11473,10006,2
73458,11473,10144,2
73459,11473,12141,1
73460,11473,10163,3
73461,11473,10019,14
73462,11473,11972,2
73463,11473,10316,1
73464,11473,10657,2
73465,11473,10057,3
73466,11473,10147,1
73467,11473,10007,4
73468,11474,10283,100
73469,11475,10281,100
73470,11476,10330,100
73471,11477,10283,100
73472,11478,10323,100
73473,11479,10019,7
73474,11479,10162,2
73475,11479,10028,3
73476,11479,10006,2
73477,11479,10022,27
73478,11479,10008,5
73479,11479,10161,2
73480,11479,10057,3
73481,11479,11276,6
73482,11479,10177,1
73483,11479,10032,16
73484,11479,10103,4
73485,11479,10338,3
73486,11479,10163,8
73487,11479,10070,2
73488,11479,10130,3
73489,11479,10007,3
73490,11479,10144,3
73491,11481,10006,1
73492,11481,11972,1
73493,11481,10657,3
73494,11481,12141,1
73495,11481,10028,4
73496,11481,11971,3
73497,11481,10022,7
73498,11481,10019,21
73499,11481,10008,3
73500,11481,10057,3
73501,11481,11276,4
73502,11481,11992,1
73503,11481,10147,2
73504,11481,10032,14
73505,11481,10144,3
73506,11481,10338,1
73507,11481,10163,5
73508,11481,10070,2
73509,11481,10264,3
73510,11481,10130,2
73511,11481,10007,2
73512,11482,10361,100
73513,11483,10323,100
73514,11484,11082,100
73515,11485,10019,5
73516,11485,10028,2
73517,11485,10162,2
73518,11485,10006,2
73519,11485,10022,27
73520,11485,10008,3
73521,11485,10161,3
73522,11485,10057,3
73523,11485,11246,3
73524,11485,11276,7
73525,11485,10032,16
73526,11485,10103,6
73527,11485,10338,3
73528,11485,10163,7
73529,11485,10070,2
73530,11485,10007,3
73531,11485,10144,4
73532,11486,10006,1
73533,11486,11972,1
73534,11486,10657,3
73535,11486,12141,1
73536,11486,10028,4
73537,11486,11971,1
73538,11486,10022,7
73539,11486,10019,19
73540,11486,11976,1
73541,11486,10008,2
73542,11486,10161,2
73543,11486,10057,3
73544,11486,11276,4
73545,11486,11992,1
73546,11486,10147,2
73547,11486,10032,14
73548,11486,10144,3
73549,11486,10338,1
73550,11486,10163,5
