Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
98,9,100,0,0,0,98,13,439.0,,17.0,606533330.941991,342099.0,73974.0,5991059.0,3183157109.0,58958.0,15188.0,0.0,0.0
99,9,6,0,0,0,99,13,6.0,,0.0,606535218.151105,46667.0,12027.0,0.0,0.0,10917.0,3018.0,0.0,0.0
100,9,7,1,0,0,100,14,3.0,,0.0,606535253.067298,103.0,55.0,0.0,0.0,213.0,110.0,0.0,0.0
101,9,203,0,0,0,101,13,884.0,,0.0,606538628.727597,12706465.0,2773161.0,0.0,0.0,201699.0,50523.0,0.0,0.0
102,9,139,1,0,0,102,14,326.0,,0.0,606539125.794134,1915452.0,23529349.0,0.0,0.0,403617.0,2994333.0,0.0,0.0
103,9,86,0,0,0,103,13,465.0,,0.0,606539128.425224,1439535.0,1183924.0,0.0,0.0,39557.0,30632.0,0.0,0.0
104,9,112,0,0,0,104,13,284.0,,0.0,606539128.98359,2406786.0,4078728.0,0.0,0.0,137916.0,87950.0,0.0,0.0
105,9,70,1,0,0,105,14,272.0,,0.0,606539193.789516,1315261.0,297145.0,0.0,0.0,8558433.0,1496589.0,2501956.0,456010.0
106,9,6,0,0,0,106,13,31.0,,0.0,606541207.49233,38028.0,13517.0,0.0,0.0,28646.0,10721.0,0.0,0.0
107,9,26,0,0,0,107,13,26.0,,0.0,606562785.603486,194751.0,57477.0,0.0,0.0,16930.0,5466.0,0.0,0.0
108,9,156,0,0,0,108,13,233.0,,0.0,606574970.62566,1100383.0,1565842.0,0.0,0.0,131964.0,307848.0,0.0,0.0
109,9,16,1,0,0,109,14,166.0,,0.0,606575013.236688,125309.0,63761.0,0.0,0.0,12395897.0,1214089.0,0.0,0.0
110,9,20,1,0,0,110,14,133.0,,0.0,606578406.814846,58675.0,65763.0,0.0,0.0,5902263.0,1612248.0,0.0,0.0
111,9,22,1,0,0,111,14,525.0,,1.0,606581971.751695,7712843.0,752335.0,0.0,0.0,163060230.0,6620510.0,0.0,0.0
112,9,121,1,0,0,112,14,282.0,,0.0,606582909.204287,415296.0,214364.0,0.0,0.0,2438526.0,6001928.0,0.0,0.0
113,9,55,0,0,0,113,13,55.0,,0.0,606583323.585015,433559.0,233644.0,0.0,0.0,34836.0,20065.0,0.0,0.0
114,9,21,1,0,0,114,14,183.0,,0.0,606595063.036189,28999416.0,8488163.0,0.0,0.0,15820000.0,628856.0,0.0,0.0
115,9,40,0,0,0,115,13,80.0,,0.0,606596405.051421,34892.0,12806.0,0.0,0.0,0.0,0.0,0.0,0.0
116,9,99,0,0,0,116,13,198.0,,0.0,606596410.219259,546482.0,274416.0,0.0,0.0,0.0,0.0,0.0,0.0
117,9,40,1,0,0,117,14,112.0,,0.0,606596410.55111,1541185.0,14210563.0,0.0,0.0,0.0,0.0,0.0,0.0
118,9,35,0,0,0,118,13,196.0,,0.0,606596768.775313,1968587.0,590682.0,0.0,0.0,22502.0,8521.0,0.0,0.0
119,9,21,0,0,0,119,13,19.0,,0.0,606596777.658475,183796.0,122546.0,0.0,0.0,0.0,0.0,0.0,0.0
120,9,64,1,0,0,120,14,1065.0,,0.0,606597226.217475,9608552.0,4252536.0,0.0,0.0,62555.0,35891.0,0.0,0.0
121,9,50,0,0,0,121,13,255.0,,0.0,606597228.011454,190357.0,137634.0,0.0,0.0,252.0,102.0,0.0,0.0
122,9,37,1,0,0,122,14,233.0,,0.0,606597670.675068,42472125.0,13159928.0,0.0,0.0,0.0,0.0,0.0,0.0
123,9,47,0,0,0,123,13,155.0,,0.0,606597693.268433,746962.0,232563.0,0.0,0.0,0.0,0.0,0.0,0.0
124,9,26,0,0,0,124,13,67.0,,0.0,606597705.341467,194351.0,103618.0,0.0,0.0,168426.0,183616.0,0.0,0.0
125,9,28,0,0,0,125,13,116.0,,0.0,606597736.047872,8777211.0,1353972.0,0.0,0.0,0.0,0.0,0.0,0.0
126,9,217,0,0,0,126,13,238.0,,0.0,606598444.574859,2718478.0,2098778.0,0.0,0.0,0.0,0.0,0.0,0.0
127,9,15,1,0,0,127,14,121.0,,0.0,606618194.286053,3348795.0,836927.0,0.0,0.0,0.0,0.0,0.0,0.0
128,9,54,1,0,0,128,14,569.0,,1.0,606619291.565296,274419749.0,6248914.0,0.0,0.0,0.0,0.0,0.0,0.0
129,9,11,1,0,0,129,14,108.0,,0.0,606620257.629092,6017609.0,1757300.0,0.0,0.0,12204.0,15216.0,0.0,0.0
130,9,21,1,0,0,130,14,55.0,,0.0,606621803.222505,2577548.0,1263742.0,0.0,0.0,0.0,0.0,0.0,0.0
131,9,26,0,0,0,131,13,103.0,,0.0,606689802.129355,621931.0,189836.0,0.0,0.0,0.0,0.0,0.0,0.0
132,9,43,1,0,0,132,14,5538.0,,0.0,606704641.19942,169512132.0,27538382.0,0.0,0.0,0.0,0.0,0.0,0.0
133,9,21,1,0,0,133,14,462.0,,0.0,606705088.444523,16247848.0,11924065.0,0.0,0.0,0.0,0.0,0.0,0.0
134,9,63,1,0,0,134,14,311.0,,0.0,606705473.357826,17679946.0,1425138.0,0.0,0.0,0.0,0.0,0.0,0.0
135,9,607,1,0,0,135,14,559.0,,0.0,606705605.536862,13000131.0,2190798.0,0.0,0.0,2354.0,1548.0,0.0,0.0
136,9,11,1,0,0,136,14,55.0,,0.0,606705671.968764,1696467.0,867257.0,0.0,0.0,0.0,0.0,0.0,0.0
137,9,20,1,0,0,137,14,127.0,,0.0,606705849.639233,20047467.0,12097468.0,0.0,0.0,5716.0,20704.0,0.0,0.0
138,9,51,1,0,0,138,14,344.0,,0.0,606705943.837215,59786615.0,1292412.0,0.0,0.0,0.0,0.0,0.0,0.0
139,9,90,1,0,0,139,14,359.0,,0.0,606706528.014464,37277975.0,1999890.0,0.0,0.0,0.0,0.0,0.0,0.0
140,9,16,1,0,0,140,14,260.0,,0.0,606706705.234124,4991516.0,799436.0,0.0,0.0,0.0,0.0,0.0,0.0
141,9,31,1,0,0,141,14,149.0,,0.0,606707513.432504,8710721.0,9456340.0,0.0,0.0,0.0,0.0,0.0,0.0
142,9,87,1,0,0,142,14,365.0,,0.0,606707710.231808,1534459.0,655093.0,0.0,0.0,558.0,278.0,0.0,0.0
143,9,89,1,0,0,143,14,360.0,,0.0,606707837.331685,12278754.0,10625970.0,0.0,0.0,43603.0,51671.0,0.0,0.0
144,9,2,1,0,0,144,14,1.0,,0.0,606747074.975694,103.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
145,9,29,1,0,0,145,14,1398.0,,0.0,606789937.753457,18520064.0,8814344.0,0.0,0.0,0.0,0.0,0.0,0.0
146,9,8,1,0,0,146,14,10.0,,0.0,606854969.190335,13263.0,5238.0,0.0,0.0,0.0,0.0,0.0,0.0
147,9,137,0,0,0,147,13,133.0,,0.0,606855051.07918,2731866.0,945434.0,0.0,0.0,17626.0,5859.0,0.0,0.0
148,9,64,1,0,0,148,14,409.0,,3.0,606855404.77313,1350289703.0,18160333.0,0.0,0.0,4507702.0,415024.0,45132.0,31895.0
149,9,7,1,0,0,149,14,8.0,,0.0,606856905.845326,141463.0,24908.0,0.0,0.0,0.0,0.0,0.0,0.0
150,9,8,0,0,0,150,13,20.0,,0.0,606865262.474426,110827.0,56318.0,0.0,0.0,0.0,0.0,0.0,0.0
151,9,23,1,0,0,151,14,6.0,,0.0,606877812.163874,133918.0,18547.0,0.0,0.0,0.0,0.0,0.0,0.0
152,9,17,1,0,0,152,14,287.0,,0.0,606877855.972715,45298118.0,11125150.0,0.0,0.0,0.0,0.0,0.0,0.0
153,9,4,0,0,0,153,13,5.0,,0.0,606885000.050461,3505757.0,71915.0,0.0,0.0,49414.0,12562.0,0.0,0.0
154,9,392,0,0,0,154,13,1368.0,,0.0,606994051.53059,8710004.0,5389777.0,0.0,0.0,0.0,0.0,0.0,0.0
155,9,5,0,0,0,155,13,21.0,,0.0,607027274.823479,8915827.0,2053647.0,0.0,0.0,0.0,0.0,0.0,0.0
156,9,11,1,0,0,156,14,113.0,,0.0,607048584.966804,626268.0,465730.0,0.0,0.0,0.0,0.0,0.0,0.0
