id,minlat,maxlat,minlong,maxlong
6863,38.0,38.5,-122.0,-121.5
6864,38.0,38.5,-122.0,-121.5
6848,38.0,38.5,-121.5,-121.0
6849,38.0,38.5,-121.5,-121.0
6850,38.0,38.5,-121.5,-121.0
6851,38.0,38.5,-121.5,-121.0
6852,38.0,38.5,-121.5,-121.0
6853,38.0,38.5,-121.5,-121.0
6854,38.0,38.5,-121.5,-121.0
6855,38.0,38.5,-121.5,-121.0
7134,38.5,39.0,-122.0,-121.5
7135,38.5,39.0,-122.0,-121.5
7136,38.5,39.0,-122.0,-121.5
7137,38.5,39.0,-122.0,-121.5
7446,39.0,39.5,-121.5,-121.0
7447,39.0,39.5,-121.5,-121.0
7448,39.0,39.5,-121.5,-121.0
7449,39.0,39.5,-122.0,-121.5
7450,39.0,39.5,-122.0,-121.5
7451,39.0,39.5,-122.0,-121.5
