ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11576,1586925931.0416079,1586926084.374834,1586925901.836,25965,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 2fde5aeb e02668eb ... 00000000 00000000 }",3949471456,3948600879,26571,3
11577,1586925952.669608,1586926084.396306,1586925923.464,1216,0,45452,60,1,"{length = 40, bytes = 0x03000000 01000000 211472eb f2f672eb ... 0d000000 00000000 }",3950180082,3950122017,1772,3
11578,1586926497.4126081,1586927082.311465,1586926468.207,68192,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 bf9960ec 874e83ec ... 00000000 00000000 }",3968028295,3965753791,69421,3
11579,1586926520.4306078,1586927082.3136702,1586926491.225,2904,0,45452,81,1,"{length = 40, bytes = 0x03000000 01000000 f2f78cec a2d08eec ... 25000000 00000000 }",3968782498,3968661490,3693,3
11580,1586926901.2926078,1586927082.351162,1586926872.087,7378,0,45452,0,0,"{length = 40, bytes = 0x03000000 00bcec00 ec6449ed c2394ded ... 00000000 00000000 }",3981261250,3981010156,7664,3
11581,1586926917.8206081,1586927082.3585773,1586926888.615,3147,0,45452,0,1,"{length = 40, bytes = 0x03000000 01fa29a2 6ca453ed 1c7d55ed ... 00000000 00000000 }",3981802780,3981681772,3693,3
11582,1586927921.4656081,1586928006.6934233,1586927892.26,28532,0,45452,0,0,"{length = 40, bytes = 0x03000000 0000dc0b 9dae3cef e1414bef ... 00000000 00000000 }",4014686689,4013731485,29154,3
11583,1586927937.6536078,1586928006.7051573,1586927908.448,4996,0,45452,41,1,"{length = 40, bytes = 0x03000000 01000000 bf4850ef b75953ef ... 00000000 03000000 }",4015217079,4015016127,6133,3
11584,1586928757.737608,1586929078.513423,1586928728.532,4042,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 233aebf0 6559edf0 ... 00000000 00000000 }",4042086757,4041947683,4245,3
11585,1586928768.3706079,1586929078.51442,1586928739.165,3147,0,45452,0,1,"{length = 40, bytes = 0x03000000 01203e59 fbcdf0f0 41aaf2f0 ... 00000000 00000000 }",4042435137,4042313211,3721,3
11586,1586928941.6276078,1586929078.5158482,1586928912.422,26045,0,45452,12,0,"{length = 40, bytes = 0x03000000 00640200 9cfd3bf1 b94849f1 ... 00000000 00000000 }",4048111801,4047240604,26590,3
11587,1586928957.9496078,1586929078.5423002,1586928928.744,2066,0,45452,0,1,"{length = 40, bytes = 0x03000000 01010200 d63c50f1 b47151f1 ... 00000000 00000000 }",4048646580,4048567510,2413,3
11588,1586929675.0496082,1586929676.190318,1586929645.844,37305,0,45452,12,0,"{length = 40, bytes = 0x03000000 002aaaa2 b9e9a4f2 aff4b7f2 ... 00000000 00000000 }",4072141999,4070894009,38090,3
11589,1586929691.2796078,1586930084.2584941,1586929662.074,3072,0,45452,29,1,"{length = 40, bytes = 0x03000000 01b45017 7739bef2 0412c0f2 ... 1d000000 00000000 }",4072673796,4072552823,3692,3
11590,1586929961.789608,1586930084.278706,1586929932.584,44954,0,45452,0,0,"{length = 40, bytes = 0x03000000 00fbffff eb6230f3 914f47f3 ... 00000000 00000000 }",4081536913,4080034539,45854,3
11591,1586929978.2196078,1586930084.2825804,1586929949.014,1211,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 5fcc4ef3 60864ff3 ... 00000000 00000000 }",4082075232,4082027615,1453,3
11592,1586930445.4116082,1586930894.187879,1586930416.206,90193,0,45452,12,0,"{length = 40, bytes = 0x03000000 00206879 07460bf4 991839f4 ... 00000000 00000000 }",4097382553,4094379527,91656,3
11593,1586930461.7466078,1586930894.190092,1586930432.541,2851,0,45452,0,1,"{length = 40, bytes = 0x03000000 017a6ba5 81933ff4 3d4341f4 ... 00000000 00000000 }",4097917757,4097807233,3373,3
11594,1586930467.9906082,1586930894.191848,1586930438.785,2959,0,45452,0,0,"{length = 40, bytes = 0x03000000 00010000 b4d142f4 646244f4 ... 00000000 00000000 }",4098122340,4098019764,3131,3
11595,1586930478.9496078,1586930894.192753,1586930449.744,8162,0,45452,17,1,"{length = 40, bytes = 0x03000000 01010000 712f45f4 fedc49f4 ... 11000000 03000000 }",4098481406,4098174833,9357,3
11596,1586930511.6006079,1586930894.194241,1586930482.395,1774,0,45452,12,0,"{length = 40, bytes = 0x03000000 0020c14f 283959f4 e72f5af4 ... 00000000 00000000 }",4099551207,4099488040,1928,3
11597,1586930528.0166082,1586930894.194912,1586930498.811,2194,0,45452,22,1,"{length = 40, bytes = 0x03000000 01000000 500761f4 e76462f4 ... 16000000 00000000 }",4100089063,4099999568,2732,3
11598,1586930980.6616082,1586931277.4997091,1586930951.456,2386,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 d46e43f5 4fb144f5 ... 00000000 00000000 }",4114919759,4114837204,2520,3
11599,1586930996.994608,1586931277.520601,1586930967.789,2634,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 53364bf5 b1db4cf5 ... 00000000 00000000 }",4115454897,4115347027,3292,3
11600,1586931689.8446078,1586931908.3543892,1586931660.639,0,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 cc39a7f6 fe3ea7f6 ... 00000000 00000000 }",4138155774,4138154444,41,3
